Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Note
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20162018","2016-2018","%","72",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20172019","2017-2019","%","71",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20182020","2018-2020","%","71",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20092011","2009-2011","g/pc/d","58",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20102012","2010-2012","g/pc/d","58",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20112013","2011-2013","g/pc/d","57.3",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20122014","2012-2014","g/pc/d","58",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20132015","2013-2015","g/pc/d","58.3",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20142016","2014-2016","g/pc/d","58.6",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/pc/d","58.3",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20162018","2016-2018","g/pc/d","58",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/pc/d","57.3",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20182020","2018-2020","g/pc/d","56.3",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20092011","2009-2011","g/pc/d","11",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20102012","2010-2012","g/pc/d","11",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20112013","2011-2013","g/pc/d","11",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20122014","2012-2014","g/pc/d","11.7",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20132015","2013-2015","g/pc/d","12",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20142016","2014-2016","g/pc/d","12",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/pc/d","11.3",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/pc/d","10.7",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20172019","2017-2019","g/pc/d","10.3",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20182020","2018-2020","g/pc/d","10",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2010","2010","I$","2026.2",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2011","2011","I$","1961.1",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2012","2012","I$","2122.8",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2013","2013","I$","2165.3",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2014","2014","I$","2144.4",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2015","2015","I$","2108.7",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2016","2016","I$","2101.4",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","2096.1",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2018","2018","I$","2060.7",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2019","2019","I$","2079.9",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","I$","1968.3",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","%","20.5",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20102012","2010-2012","%","19.7",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20112013","2011-2013","%","21",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20122014","2012-2014","%","20.8",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20132015","2013-2015","%","20.7",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20142016","2014-2016","%","21.3",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20152017","2015-2017","%","21.8",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20162018","2016-2018","%","22.7",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20172019","2017-2019","%","24",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20182020","2018-2020","%","26.9",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20192021","2019-2021","%","28.8",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20092011","2009-2011","million No","5.8",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20102012","2010-2012","million No","5.8",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20112013","2011-2013","million No","6.4",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20122014","2012-2014","million No","6.6",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20132015","2013-2015","million No","6.8",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20142016","2014-2016","million No","7.2",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20152017","2015-2017","million No","7.6",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20162018","2016-2018","million No","8.1",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","8.8",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","10.2",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20192021","2019-2021","million No","11.2",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20142016","2014-2016","%","14.8","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20152017","2015-2017","%","15.1","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20162018","2016-2018","%","17.3","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","17.3","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20182020","2018-2020","%","19.8","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","22.6","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20142016","2014-2016","%","14.2","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20152017","2015-2017","%","14.1","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20162018","2016-2018","%","15.3","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20172019","2017-2019","%","14.1","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20182020","2018-2020","%","14.8","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20192021","2019-2021","%","17.5","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20142016","2014-2016","%","15.3","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20152017","2015-2017","%","16.2","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20162018","2016-2018","%","19.4","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20172019","2017-2019","%","20.4","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20182020","2018-2020","%","24.8","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20192021","2019-2021","%","27.8","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20142016","2014-2016","%","45.1","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20152017","2015-2017","%","49.6","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20162018","2016-2018","%","54.3","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","57.6","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20182020","2018-2020","%","63.1","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","70.1","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20142016","2014-2016","%","42.5","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20152017","2015-2017","%","46.5","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20162018","2016-2018","%","50.8","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20172019","2017-2019","%","52.4","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20182020","2018-2020","%","56.5","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20192021","2019-2021","%","62","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20142016","2014-2016","%","47.7","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20152017","2015-2017","%","52.8","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20162018","2016-2018","%","57.8","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20172019","2017-2019","%","62.8","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20182020","2018-2020","%","69.9","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20192021","2019-2021","%","78.2","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20142016","2014-2016","million No","5","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20152017","2015-2017","million No","5.2","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20162018","2016-2018","million No","6.2","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20172019","2017-2019","million No","6.3","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20182020","2018-2020","million No","7.5","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20192021","2019-2021","million No","8.8","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071M","Number of severely food insecure male adults (million) (3-year average)","20142016","2014-2016","million No","1.3","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071M","Number of severely food insecure male adults (million) (3-year average)","20152017","2015-2017","million No","1.3","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071M","Number of severely food insecure male adults (million) (3-year average)","20162018","2016-2018","million No","1.5","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071M","Number of severely food insecure male adults (million) (3-year average)","20172019","2017-2019","million No","1.4","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071M","Number of severely food insecure male adults (million) (3-year average)","20182020","2018-2020","million No","1.6","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071M","Number of severely food insecure male adults (million) (3-year average)","20192021","2019-2021","million No","1.9","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071F","Number of severely food insecure female adults (million) (3-year average)","20142016","2014-2016","million No","1.4","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071F","Number of severely food insecure female adults (million) (3-year average)","20152017","2015-2017","million No","1.5","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071F","Number of severely food insecure female adults (million) (3-year average)","20162018","2016-2018","million No","1.9","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071F","Number of severely food insecure female adults (million) (3-year average)","20172019","2017-2019","million No","2.1","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071F","Number of severely food insecure female adults (million) (3-year average)","20182020","2018-2020","million No","2.6","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071F","Number of severely food insecure female adults (million) (3-year average)","20192021","2019-2021","million No","3","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210081","Number of moderately or severely food insecure people (million) (3-year average)","20142016","2014-2016","million No","15.2","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210081","Number of moderately or severely food insecure people (million) (3-year average)","20152017","2015-2017","million No","17.2","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210081","Number of moderately or severely food insecure people (million) (3-year average)","20162018","2016-2018","million No","19.3","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210081","Number of moderately or severely food insecure people (million) (3-year average)","20172019","2017-2019","million No","21.1","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210081","Number of moderately or severely food insecure people (million) (3-year average)","20182020","2018-2020","million No","23.9","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210081","Number of moderately or severely food insecure people (million) (3-year average)","20192021","2019-2021","million No","27.3","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210081M","Number of moderately or severely food insecure male adults (million) (3-year average)","20142016","2014-2016","million No","3.9","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210081M","Number of moderately or severely food insecure male adults (million) (3-year average)","20152017","2015-2017","million No","4.4","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210081M","Number of moderately or severely food insecure male adults (million) (3-year average)","20162018","2016-2018","million No","5","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210081M","Number of moderately or severely food insecure male adults (million) (3-year average)","20172019","2017-2019","million No","5.3","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210081M","Number of moderately or severely food insecure male adults (million) (3-year average)","20182020","2018-2020","million No","6","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210081M","Number of moderately or severely food insecure male adults (million) (3-year average)","20192021","2019-2021","million No","6.8","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210081F","Number of moderately or severely food insecure female adults (million) (3-year average)","20142016","2014-2016","million No","4.4","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210081F","Number of moderately or severely food insecure female adults (million) (3-year average)","20152017","2015-2017","million No","5","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210081F","Number of moderately or severely food insecure female adults (million) (3-year average)","20162018","2016-2018","million No","5.7","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210081F","Number of moderately or severely food insecure female adults (million) (3-year average)","20172019","2017-2019","million No","6.4","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210081F","Number of moderately or severely food insecure female adults (million) (3-year average)","20182020","2018-2020","million No","7.4","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210081F","Number of moderately or severely food insecure female adults (million) (3-year average)","20192021","2019-2021","million No","8.6","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20092011","2009-2011","%","29.1",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20102012","2010-2012","%","26.7",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20112013","2011-2013","%","26.2",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20122014","2012-2014","%","21",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20132015","2013-2015","%","23.2",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20142016","2014-2016","%","27",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20152017","2015-2017","%","34.2",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20162018","2016-2018","%","41.3",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20172019","2017-2019","%","40.9",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20182020","2018-2020","%","38.1",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21034","Percent of arable land equipped for irrigation (percent) (3-year average)","20092011","2009-2011","%","4.9",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21034","Percent of arable land equipped for irrigation (percent) (3-year average)","20102012","2010-2012","%","4.9",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21034","Percent of arable land equipped for irrigation (percent) (3-year average)","20112013","2011-2013","%","4.9",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21034","Percent of arable land equipped for irrigation (percent) (3-year average)","20122014","2012-2014","%","4.9",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21034","Percent of arable land equipped for irrigation (percent) (3-year average)","20132015","2013-2015","%","4.9",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21034","Percent of arable land equipped for irrigation (percent) (3-year average)","20142016","2014-2016","%","4.9",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21034","Percent of arable land equipped for irrigation (percent) (3-year average)","20152017","2015-2017","%","4.9",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21034","Percent of arable land equipped for irrigation (percent) (3-year average)","20162018","2016-2018","%","4.9",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21034","Percent of arable land equipped for irrigation (percent) (3-year average)","20172019","2017-2019","%","4.9",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21034","Percent of arable land equipped for irrigation (percent) (3-year average)","20182020","2018-2020","%","4.9",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21034","Percent of arable land equipped for irrigation (percent) (3-year average)","20192021","2019-2021","%","4.9",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20092011","2009-2011","%","311",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20102012","2010-2012","%","343",""
